# Time(s)	Min(V)	Area(V*s)	AreaFromScope(V*s)
0.00000000	0.00880000000	0.00000000107296000	0.00000000106496146
0.137007713	0.00880000000	0.000000000949760000	0.00000000106464146
0.237013340	0.00880000000	0.000000000889600000	0.000000000990401455
0.322018147	0.00880000000	0.00000000103744000	0.00000000109872146
0.418023586	0.00880000000	0.000000000923520000	0.00000000100880146
0.517029285	0.00880000000	0.00000000106432000	0.00000000106736146
0.607034683	0.00880000000	0.00000000102240000	0.00000000112144146
0.723041058	0.00880000000	0.000000000981120000	0.00000000109168146
0.847048283	0.00880000000	0.00000000102848000	0.00000000101936146
0.935053349	0.00880000000	0.000000000991040000	0.00000000107152146
1.04005909	0.0104000000	0.00000000108128000	0.00000000100288146
1.13306475	0.0104000000	0.00000000107872000	0.000000000994241455
1.22206974	0.0104000000	0.00000000102816000	0.00000000100592146
1.31707525	0.00880000000	0.000000000978560000	0.000000000972641453
1.41908073	0.00880000000	0.00000000105920000	0.00000000108432146
1.50608587	0.00880000000	0.000000000953600000	0.00000000105728146
1.58909082	0.0104000000	0.000000000936640000	0.000000000931201450
1.70309734	0.00880000000	0.00000000104256000	0.00000000105152146
1.79110241	0.00880000000	0.00000000102304000	0.00000000108448146
1.87810707	0.00880000000	0.00000000114176000	0.00000000102048146
1.98311329	0.0104000000	0.00000000106624000	0.00000000109312146
2.07411861	0.00880000000	0.00000000106272000	0.000000000996001455
2.16012335	0.0104000000	0.00000000111392000	0.00000000106592146
2.27912998	0.00880000000	0.00000000103840000	0.000000000974081453
2.36813545	0.00880000000	0.00000000100800000	0.00000000108256146
2.46214056	0.0104000000	0.00000000112384000	0.00000000104496146
2.56914663	0.0104000000	0.00000000110048000	0.00000000104624146
2.65715170	0.00880000000	0.00000000100704000	0.00000000100704146
2.74615669	0.00880000000	0.000000000987840000	0.00000000101344146
2.85016298	0.0104000000	0.000000000964800000	0.00000000107760146
2.94016790	0.00880000000	0.00000000100672000	0.00000000106864146
3.04617405	0.00880000000	0.000000000991040000	0.00000000106208146
3.13817930	0.00880000000	0.00000000105408000	0.00000000100096146
3.22918463	0.00880000000	0.00000000106816000	0.00000000102880146
3.32718992	0.00880000000	0.000000000992960000	0.00000000106176146
3.42319584	0.0104000000	0.00000000113248000	0.000000000977761454
3.51320076	0.00880000000	0.000000000993280000	0.00000000115200147
3.61420631	0.00880000000	0.00000000100928000	0.00000000112816146
3.71321201	0.00880000000	0.00000000101984000	0.000000000947841452
3.82121849	0.0104000000	0.00000000101696000	0.00000000106160146
3.95022583	0.0104000000	0.00000000102400000	0.00000000100272146
4.04123116	0.0104000000	0.00000000108672000	0.000000000989921454
4.15123749	0.00880000000	0.00000000101632000	0.000000000983041454
4.24324274	0.0104000000	0.000000000964480000	0.00000000109760146
4.33524752	0.00880000000	0.00000000101632000	0.00000000107104146
4.44225407	0.00880000000	0.00000000104192000	0.000000000932961450
4.53525925	0.00880000000	0.00000000111360000	0.00000000101712146
4.63026476	0.00880000000	0.00000000105024000	0.000000000986721454
4.72727013	0.00880000000	0.00000000109280000	0.00000000104128146
4.81727552	0.00880000000	0.000000000982400000	0.000000000981761454
4.92028141	0.00880000000	0.000000000896000000	0.000000000954081452
5.01828671	0.0104000000	0.00000000111328000	0.00000000106704146
5.11029196	0.00880000000	0.00000000100896000	0.00000000114544147
5.21929836	0.00880000000	0.000000000997760000	0.00000000101232146
5.31030369	0.0120000000	0.00000000111136000	0.000000000892481448
5.39930868	0.00880000000	0.00000000100832000	0.00000000105376146
5.49831438	0.0104000000	0.00000000108736000	0.00000000101584146
5.60032034	0.00880000000	0.00000000110016000	0.00000000108752146
5.69232512	0.0104000000	0.00000000105664000	0.00000000105872146
5.78833103	0.0104000000	0.00000000103296000	0.00000000110800146
5.89433718	0.00880000000	0.00000000108864000	0.000000000965121453
5.98834229	0.00880000000	0.000000000919040000	0.000000000913761449
6.07434702	0.00880000000	0.00000000109152000	0.00000000102352146
6.19335413	0.00880000000	0.000000000911360000	0.000000000915361449
6.28235912	0.00880000000	0.00000000101280000	0.000000000989121454
6.37336445	0.00880000000	0.000000000937280000	0.00000000108784146
6.48637104	0.00880000000	0.00000000102752000	0.00000000104640146
6.57937622	0.0104000000	0.000000000985280000	0.000000000994241455
6.67138147	0.00880000000	0.00000000103104000	0.00000000103328146
6.77738762	0.0104000000	0.00000000105952000	0.00000000109584146
6.86439228	0.0104000000	0.00000000110080000	0.00000000108864146
6.95539761	0.00880000000	0.00000000100928000	0.00000000105184146
7.07540464	0.00880000000	0.00000000112736000	0.00000000108096146
7.16440964	0.00880000000	0.00000000107744000	0.000000000958401452
7.25741482	0.00880000000	0.000000000930240000	0.00000000102944146
7.36442089	0.00880000000	0.00000000108288000	0.00000000101760146
7.45342636	0.00880000000	0.00000000108736000	0.000000000937121451
7.56643248	0.00880000000	0.00000000103008000	0.00000000104512146
7.69744015	0.00880000000	0.00000000105344000	0.000000000973921453
7.78944540	0.0104000000	0.00000000109920000	0.000000000959681452
7.89545155	0.0104000000	0.00000000109280000	0.000000000956961452
7.98845673	0.00880000000	0.000000000970240000	0.000000000970401453
8.08446217	0.00880000000	0.00000000105344000	0.00000000101024146
8.18846798	0.00880000000	0.00000000101984000	0.000000000980641454
8.27847338	0.00880000000	0.00000000102976000	0.00000000103888146
8.38347912	0.00880000000	0.000000000980160000	0.00000000100960146
8.47448444	0.00880000000	0.000000000981440000	0.000000000978881454
8.56849003	0.00880000000	0.000000000981760000	0.00000000105392146
8.68049622	0.00880000000	0.00000000102496000	0.000000000979521454
8.76750135	0.00880000000	0.00000000108832000	0.000000000995681455
8.86850691	0.00880000000	0.000000000996160000	0.00000000100352146
8.96751261	0.00880000000	0.000000000978560000	0.000000000997121455
